Model,Accuracy,Precision,Recall,F1,AUC
LogisticRegression,0.9776413251617221,0.37105047589327506,0.7058823529411764,0.4813763178928938,0.915291371450541
SVM,0.9841004735071903,0.4720057720057721,0.5111111111111112,0.48751248751248755,0.8830026912725873
KNN,0.9758187614193146,0.3315492513790386,0.5797385620915032,0.41596299372462164,0.8596732026143791
RandomForest,0.9870817033090636,0.5838859416445623,0.658169934640523,0.6049124999356849,0.9391884989289834
LGBM,0.9867503031433635,0.5506666666666666,0.6261437908496732,0.5783812129502964,0.9472436425550612
MLP,0.9864189029776634,0.5386283891547048,0.6372549019607844,0.5733428165007113,0.9095864228044158
Stacking,0.9915534945346142,0.6989247311827957,0.7386363636363636,0.7182320441988951,0.9962471352177236
